category,title,priority
Legal & Trademark,Reserve LLC / Corporation name with state Secretary of State,Urgent
Legal & Trademark,File Articles of Organization (LLC) or Incorporation,Urgent
Legal & Trademark,Apply for EIN (Employer Identification Number) with IRS,Urgent
Legal & Trademark,Draft and sign Operating Agreement / Bylaws,High
Legal & Trademark,Conduct USPTO trademark search for "Garage Lions" name and logo,High
Legal & Trademark,Conduct state-level trademark search,High
Legal & Trademark,File USPTO trademark application for word mark "Garage Lions",High
Legal & Trademark,File USPTO trademark application for logo / design mark,High
Legal & Trademark,Register trademark in applicable Nice classifications (37 - Construction),High
Legal & Trademark,Monitor USPTO office actions and respond within 6 months,Medium
Legal & Trademark,Register DBA / Fictitious Business Name if needed,Medium
Legal & Trademark,Apply for state contractor's license,Urgent
Legal & Trademark,Apply for city / county business license,Urgent
Legal & Trademark,Register for state sales tax permit,High
Legal & Trademark,Draft standard customer service contract template,High
Legal & Trademark,Draft warranty terms document,High
Legal & Trademark,Draft privacy policy for website,High
Legal & Trademark,Draft terms of service for website,High
Legal & Trademark,Draft SMS / messaging consent terms (TCPA compliant),High
Legal & Trademark,Draft refund and cancellation policy,Medium
Legal & Trademark,Hire business attorney on retainer,Medium
Legal & Trademark,Register copyright for website content and photography,Low
Legal & Trademark,Set up domain ownership protection / privacy,Medium
Legal & Trademark,File trademark renewal reminder (5-10 year cycle),Low
Business Setup,Open business bank account (checking),Urgent
Business Setup,Open business savings account,High
Business Setup,Apply for business credit card,High
Business Setup,Set up payment processing (Stripe / Square),Urgent
Business Setup,Set up ACH / bank transfer for large jobs,High
Business Setup,Set up financing partner (Affirm / GreenSky / Synchrony),High
Business Setup,Choose accounting software (QuickBooks Online / Xero),Urgent
Business Setup,Hire bookkeeper or accountant,High
Business Setup,Set up chart of accounts for garage services,High
Business Setup,Define fiscal year and tax filing schedule,Medium
Business Setup,Register for workers' compensation insurance,Urgent
Business Setup,Get general liability insurance ($1M+ minimum),Urgent
Business Setup,Get commercial auto insurance for company vehicles,Urgent
Business Setup,Get tools and equipment insurance,High
Business Setup,Get professional liability / E&O insurance,High
Business Setup,Get cyber liability insurance,Medium
Business Setup,Set up business mailing address / PO Box,High
Business Setup,Get business phone line (separate from personal),Urgent
Business Setup,Set up Google Workspace for company emails,Urgent
Business Setup,Set up internal file storage (Google Drive / Dropbox Business),High
Business Setup,Set up password manager for team (1Password / Bitwarden),Medium
Branding,Finalize official brand color palette (Garage Lions orange / charcoal),Urgent
Branding,Finalize primary and secondary logo files (SVG / PNG / EPS),Urgent
Branding,Create brand guidelines document (PDF),High
Branding,Design business cards,High
Branding,Design letterhead and invoice templates,High
Branding,Design vehicle wraps for service trucks / vans,High
Branding,Order branded uniforms / t-shirts / polos for crew,High
Branding,Order branded hard hats and safety gear,Medium
Branding,Order branded yard signs for completed jobs,High
Branding,Order branded door hangers for neighborhood marketing,Medium
Branding,Design email signature template for staff,Medium
Branding,Create branded social media profile and cover images,High
Branding,Design branded thank-you cards for closed customers,Medium
Branding,Design branded gift items / swag for VIP customers,Low
Branding,Order custom embroidered company patches,Low
Branding,Photograph branded uniform and vehicles for marketing use,Medium
Website & Tech,Secure all relevant domains (.com .net .co garagelions variants),Urgent
Website & Tech,Set up SSL certificate for production domain,Urgent
Website & Tech,Configure DNS (Cloudflare / Route 53),High
Website & Tech,Set up production server / hosting,Urgent
Website & Tech,Set up automated nightly database backups,Urgent
